|||Columns|
||2018|348160.0|
||2019|399687.0|
||2020|348838.0|
||2021|286270.0|
|Production Quantity and 01.19.10.26.00. (Bakla, Kuru (Yemlik)) - Tonne|2004|10000.0|
||2005|6000.0|
||2006|10419.0|
||2007|10037.0|
||2008|9944.0|
||2009|9343.0|
||2010|11028.0|
||2011|11715.0|
||2012|10538.0|
||2013|10008.0|
||2014|7956.0|
||2015|7596.0|
||2016|8209.0|
||2017|7899.0|
||2018|7295.0|
||2019|6862.0|
||2020|4133.0|
||2021|2623.0|
|Production Quantity and 01.19.10.27.00. (Sudan Otu (Yemlik)) - Tonne|2021|10605.0|
|Production Quantity and 01.19.10.28.00. (Çayır Otu (Yeşilot)) - Tonne|2020|293848.0|
||2021|804681.0|
|Production Quantity and 01.19.10.29.00. (Arpa (Yeşilot)) - Tonne|2012|16680.0|
||2013|31596.0|
||2014|50752.0|
||2015|46649.0|
||2016|69199.0|
||2017|281063.0|
||2018|416963.0|
||2019|466979.0|
||2020|537066.0|
||2021|443553.0|
|Production Quantity and 01.19.10.30.00. (Çavdar (Yeşilot)) - Tonne|2012|2032.0|
||2013|2828.0|
||2014|7177.0|
||2015|6411.0|
||2016|8857.0|
||2017|24124.0|
||2018|59029.0|
||2019|71998.0|
||2020|98195.0|
||2021|114162.0|
|Production Quantity and 01.19.10.31.00. (Bezelye (Yemlik)) - Tonne|2014|70422.0|
||2015|84821.0|
||2016|121124.0|
||2017|139366.0|
||2018|210706.0|
||2019|283928.0|
||2020|452776.0|
||2021|486233.0|
|Production Quantity and 01.19.10.32.00. (İtalyan Çimi (Yemlik)) - Tonne|2014|17023.0|
||2015|58046.0|
||2016|210935.0|
||2017|348046.0|
||2018|448086.0|
||2019|616709.0|
||2020|971691.0|
||2021|1380195.0|
|Production Quantity and 01.19.10.99.00. (Başka Yerde Sınıflandırılmamış Diğer Yem Bitkileri (Tahıl Samanı Ve Kabuklar Hariç)) - Tonne|2021|19591.0|
|Production Quantity and 01.19.31.03.00. (Üçgül Tohumu) - Tonne|2008|5.0|
|Production Quantity and 01.19.31.05.00. (Korunga Tohumu) - Tonne|2004|2000.0|
||2005|985.0|
||2006|581.0|
||2007|846.0|
||2008|1477.0|
||2009|2569.0|
||2010|5200.0|
||2011|1.0|
||2012|614.0|
||2013|636.0|
||2014|47.0|
||2015|42.0|
||2016|963.0|
||2017|136.0|
||2018|241.0|
||2019|111.0|
||2020|248.0|
||2021|113.0|
|Production Quantity and 01.19.31.06. (Fiğ Tohumu) - Tonne|2004|130000.0|
||2005|132000.0|
||2006|175522.0|
||2007|90568.0|
||2008|104974.0|
||2009|135892.0|
||2010|121676.0|
||2011|107844.0|
||2012|104342.0|
||2013|114218.0|
|Production Quantity and 01.19.31.06.01. (Fiğ (Adi) Tohumu) - Tonne|2014|46568.0|
||2015|48271.0|
||2016|49001.0|
||2017|41838.0|
||2018|43106.0|
||2019|45324.0|
||2020|33031.0|
||2021|26616.0|
|Production Quantity and 01.19.31.06.02. (Fiğ (Macar) Tohumu) - Tonne|2014|13608.0|
||2015|14384.0|
||2016|13583.0|
||2017|12233.0|
||2018|12246.0|
||2019|10616.0|
||2020|10158.0|
||2021|9669.0|
|Production Quantity and 01.19.31.06.03. (Fiğ (Diğer) Tohumu) - Tonne|2014|5786.0|
||2015|4730.0|
||2016|4403.0|
||2017|4352.0|
||2018|4163.0|
||2019|4035.0|
||2020|3667.0|
||2021|2807.0|
|Production Quantity and 01.19.31.08.00. (Çim Tohumu) - Tonne|2021|3166.0|
|Production Quantity and 01.19.31.09.00. (Yonca Tohumu) - Tonne|2004|3500.0|
||2005|2900.0|
||2006|2714.0|
||2007|3025.0|
||2008|2325.0|
||2009|3270.0|
||2010|4900.0|
||2011|426.0|
||2012|1151.0|
||2013|1154.0|
||2014|1003.0|
||2015|1110.0|
||2016|1206.0|
||2017|922.0|
||2018|1204.0|
||2019|1513.0|
||2020|1695.0|
||2021|1861.0|
|Production Quantity and 01.28.20.00.00. (Şerbetçiotu Kozalağı) - Tonne|2004|1100.0|
||2005|1280.0|
||2006|1384.0|
||2007|1423.0|
||2008|1555.0|
||2009|1650.0|
||2010|1842.0|
||2011|1759.0|
||2012|1752.0|
||2013|1852.0|
||2014|1832.0|
||2015|1869.0|
||2016|1846.0|
||2017|1785.0|
||2018|1785.0|
||2019|1800.0|
||2020|1908.0|
||2021|1861.0|
|Production Quantity and 01.28.30.00.08. (Haşhaş Kapsülü (Haşhaş Kellesi)) - Tonne|2004|16190.0|
||2005|12403.0|
||2006|27443.0|
||2007|8164.0|
||2008|9849.0|
||2009|31086.0|
||2010|33555.0|
||2011|40979.0|
||2012|3497.0|
||2013|19244.0|
||2014|16223.0|
||2015|30730.0|
||2016|16550.0|
||2017|13836.0|
||2018|26991.0|
||2019|27288.0|
||2020|20542.0|
||2021|21037.0|
|Production Quantity and 01.28.30.00.11. (Adaçayı) - Tonne|2012|7.0|
||2013|4.0|
||2014|19.0|
||2015|80.0|
||2016|411.0|
||2017|557.0|
||2018|428.0|
||2019|1233.0|
||2020|1271.0|
||2021|1848.0|
|Production Quantity and 01.28.30.00.17. (Isırgan Otu) - Tonne|2012|0.0|
||2013|0.0|
||2014|0.0|
||2016|1.0|
||2017|1.0|
||2018|1.0|
||2020|0.0|
||2021|0.0|
|Production Quantity and 01.28.30.00.19. (Lavanta) - Tonne|2012|123.0|
||2013|105.0|
||2014|297.0|
||2015|400.0|
||2016|747.0|
||2017|845.0|
||2018|1040.0|
||2019|1462.0|
||2020|3499.0|
||2021|6108.0|
|Production Quantity and 01.28.30.00.23. (Oğul Otu (Melisa)) - Tonne|2012|238.0|
||2013|238.0|
||2014|238.0|
||2015|242.0|
||2016|108.0|
||2017|106.0|
||2018|84.0|
||2019|93.0|
||2020|150.0|
||2021|266.0|
|Production Quantity and 01.28.30.00.36. (Gül, Yağlık) - Tonne|2012|10225.0|
||2013|10769.0|
||2014|10831.0|
||2015|9483.0|
||2016|12267.0|
||2017|13372.0|
||2018|14773.0|
||2019|16560.0|
||2020|18202.0|
||2021|18020.0|
Vegetables|Production Quantity and 01.11.61.00.01. (Fasulye, Taze) - Tonne|2004|582000.0|
||2005|555000.0|
||2006|563763.0|
||2007|519968.0|
||2008|563056.0|
||2009|603653.0|
||2010|587967.0|
||2011|614948.0|
||2012|621036.0|
||2013|632301.0|
||2014|638469.0|
||2015|640836.0|
||2016|638532.0|
||2017|630347.0|
||2018|580949.0|
||2019|596074.0|
||2020|547349.0|
||2021|510366.0|
|Production Quantity and 01.11.61.00.02. (Barbunya, Taze) - Tonne|2004|54000.0|
||2005|54000.0|
||2006|55837.0|
||2007|58710.0|
||2008|59392.0|
||2009|69051.0|
||2010|70614.0|
||2011|78871.0|
||2012|84134.0|
||2013|76751.0|
||2014|77051.0|
||2015|79704.0|
||2016|88362.0|
||2017|92402.0|
||2018|88024.0|
||2019|89860.0|
||2020|88107.0|
||2021|76245.0|
|Production Quantity and 01.11.62.00.00. (Bezelye, Taze) - Tonne|2004|58000.0|
||2005|122000.0|
||2006|89632.0|
||2007|87743.0|
||2008|88828.0|
||2009|95046.0|
||2010|90191.0|
||2011|103787.0|
||2012|101959.0|
||2013|107549.0|
||2014|105279.0|
||2015|112638.0|
||2016|112643.0|
||2017|107124.0|
||2018|107344.0|
||2019|98200.0|
||2020|108492.0|
||2021|111625.0|
|Production Quantity and 01.11.69.00.01. (Börülce, Taze) - Tonne|2004|13000.0|
||2005|13500.0|
||2006|16077.0|
||2007|14101.0|
||2008|14983.0|
||2009|15955.0|
||2010|16591.0|
||2011|19967.0|
||2012|20566.0|
||2013|21336.0|
||2014|19353.0|
||2015|18043.0|
||2016|18108.0|
||2017|17414.0|
||2018|17657.0|
||2019|18420.0|
||2020|16781.0|
||2021|14491.0|
|Production Quantity and 01.11.69.00.02. (Bakla, Taze) - Tonne|2004|49000.0|
||2005|49000.0|
||2006|48721.0|
||2007|43273.0|
||2008|42885.0|
||2009|44389.0|
||2010|41929.0|
||2011|41962.0|
||2012|40471.0|
||2013|40243.0|
||2014|39502.0|
||2015|35359.0|
||2016|35081.0|
||2017|37511.0|
||2018|38921.0|
||2019|40068.0|
||2020|54317.0|
||2021|41162.0|
|Production Quantity and 01.13.11.00.00. (Kuşkonmaz) - Tonne|2004|12.0|
||2005|12.0|
||2006|10.0|
||2007|11.0|
||2008|10.0|
||2009|18.0|
||2010|254.0|
||2011|130.0|
||2012|7.0|
||2013|68.0|
||2014|68.0|
||2015|68.0|
||2016|145.0|
||2017|178.0|
||2018|169.0|
||2019|174.0|
||2020|1079.0|
||2021|1156.0|
|Production Quantity and 01.13.12.00.01. (Lahana (Beyaz)) - Tonne|2004|500000.0|
||2005|492000.0|
||2006|502081.0|
||2007|464645.0|
||2008|487744.0|
||2009|507655.0|
||2010|491228.0|
||2011|498073.0|
||2012|481511.0|
||2013|496864.0|
||2014|492610.0|
||2015|514344.0|
||2016|524976.0|
||2017|520796.0|
||2018|516951.0|
||2019|567622.0|
||2020|594143.0|
||2021|597910.0|
|Production Quantity and 01.13.12.00.02. (Lahana (Kırmızı)) - Tonne|2004|105000.0|
||2005|91000.0|
||2006|103137.0|
||2007|101149.0|
||2008|104583.0|
||2009|114209.0|
||2010|118170.0|
||2011|121824.0|
||2012|133234.0|
||2013|138329.0|
||2014|164069.0|
||2015|178679.0|
||2016|186826.0|
||2017|188316.0|
||2018|187948.0|
||2019|192219.0|
||2020|198516.0|
||2021|200472.0|
|Production Quantity and 01.13.12.00.03. (Lahana (Kara Yaprak)) - Tonne|2004|95000.0|
||2005|92000.0|
||2006|80981.0|
||2007|80490.0|
||2008|80825.0|
||2009|83487.0|
||2010|81953.0|
||2011|88466.0|
||2012|85023.0|
||2013|83246.0|
||2014|73643.0|
||2015|71118.0|
||2016|71018.0|
||2017|66605.0|
||2018|57034.0|
||2019|56726.0|
||2020|56100.0|
||2021|59043.0|
|Production Quantity and 01.13.12.00.04. (Lahana (Brüksel)) - Tonne|2004|950.0|
||2005|900.0|
||2006|913.0|
||2007|1394.0|
||2008|1465.0|
||2009|1504.0|
||2010|1651.0|
||2011|1693.0|
||2012|1697.0|
||2013|1818.0|
||2014|2759.0|
||2015|2534.0|
||2016|3151.0|
||2017|3170.0|
||2018|3343.0|
||2019|3100.0|
||2020|2889.0|
||2021|2698.0|
|Production Quantity and 01.13.13.00.01. (Karnabahar) - Tonne|2004|110000.0|
||2005|117000.0|
||2006|136098.0|
||2007|135145.0|
||2008|150843.0|
||2009|157051.0|
||2010|158579.0|
||2011|162134.0|
||2012|169097.0|
||2013|158996.0|
||2014|161331.0|
||2015|182266.0|
||2016|195248.0|
||2017|199710.0|
||2018|225151.0|
||2019|234356.0|
||2020|216334.0|
||2021|234717.0|
|Production Quantity and 01.13.13.00.02. (Brokoli) - Tonne|2004|6500.0|
||2005|8500.0|
||2006|16178.0|
||2007|17360.0|
||2008|19890.0|
||2009|20541.0|
||2010|26493.0|
||2011|29076.0|
||2012|30807.0|
||2013|34649.0|
||2014|40818.0|
||2015|46353.0|
||2016|55082.0|
||2017|66105.0|
||2018|69592.0|
||2019|80920.0|
||2020|95057.0|
||2021|104614.0|
|Production Quantity and 01.13.14.00.01. (Marul (Kıvırcık)) - Tonne|2004|162000.0|
||2005|168000.0|
||2006|151164.0|
||2007|140808.0|
||2008|144498.0|
||2009|141569.0|
||2010|131952.0|
||2011|138466.0|
||2012|145019.0|
||2013|159971.0|
||2014|155179.0|
||2015|157981.0|
||2016|179712.0|
||2017|185070.0|
||2018|187658.0|
||2019|198491.0|
||2020|207234.0|
||2021|234048.0|
|Production Quantity and 01.13.14.00.02. (Marul (Göbekli)) - Tonne|2004|200000.0|
||2005|204000.0|
||2006|239495.0|
||2007|226723.0|
||2008|233424.0|
||2009|233552.0|
||2010|226144.0|
||2011|217378.0|
||2012|205463.0|
||2013|212189.0|
||2014|230755.0|
||2015|225021.0|
||2016|233662.0|
||2017|223449.0|
||2018|215725.0|
||2019|215728.0|
||2020|225639.0|
||2021|212091.0|
|Production Quantity and 01.13.14.00.03. (Marul (İceberg)) - Tonne|2004|15000.0|
||2005|52000.0|
||2006|50583.0|
||2007|60528.0|
||2008|61719.0|
||2009|62917.0|
||2010|61202.0|
||2011|68408.0|
||2012|68584.0|
||2013|64625.0|
||2014|65551.0|
||2015|64490.0|
||2016|65068.0|
||2017|81904.0|
||2018|84160.0|
||2019|85547.0|
||2020|87278.0|
||2021|94430.0|
|Production Quantity and 01.13.16.00.00. (Ispanak) - Tonne|2004|213000.0|
||2005|238000.0|
||2006|242231.0|
||2007|235731.0|
||2008|225746.0|
||2009|225343.0|
||2010|218291.0|
||2011|221632.0|
||2012|222225.0|
||2013|220274.0|
||2014|207676.0|
||2015|208403.0|
||2016|210999.0|
||2017|222177.0|
||2018|225174.0|
||2019|229793.0|
||2020|231515.0|
||2021|218355.0|
|Production Quantity and 01.13.17.00.00. (Enginar) - Tonne|2004|30000.0|
||2005|36000.0|
||2006|35007.0|
||2007|33807.0|
||2008|36320.0|
||2009|34859.0|
||2010|29070.0|
||2011|33460.0|
||2012|32173.0|
||2013|34014.0|
||2014|34576.0|
||2015|32701.0|
||2016|36368.0|
||2017|38431.0|
||2018|39477.0|
||2019|39071.0|
||2020|39280.0|
||2021|40114.0|
|Production Quantity and 01.13.19.00.01. (Kereviz (Sap)) - Tonne|2004|1700.0|
||2005|1600.0|
||2006|1975.0|
||2007|2068.0|
||2008|2720.0|
||2009|1687.0|
||2010|1534.0|
||2011|1345.0|
||2012|1559.0|
||2013|1617.0|
||2014|1532.0|
||2015|1855.0|
||2016|2113.0|
||2017|2078.0|
||2018|2179.0|
||2019|2169.0|
||2020|1729.0|
||2021|1551.0|
|Production Quantity and 01.13.19.00.02. (Pazı) - Tonne|2004|7000.0|
||2005|6500.0|
||2006|6110.0|
||2007|6497.0|
||2008|6480.0|
||2009|6396.0|
||2010|5211.0|
||2011|5184.0|
||2012|5953.0|
||2013|6207.0|
||2014|6060.0|
||2015|5594.0|
||2016|5881.0|
||2017|7770.0|
||2018|9631.0|
||2019|8049.0|
||2020|7137.0|
||2021|7728.0|
|Production Quantity and 01.13.19.00.03. (Semizotu) - Tonne|2004|2000.0|
||2005|2750.0|
||2006|4232.0|
||2007|3311.0|
||2008|3815.0|
||2009|3690.0|
||2010|4936.0|
||2011|5501.0|
||2012|6945.0|
||2013|7102.0|
||2014|5797.0|
||2015|5878.0|
||2016|5819.0|
||2017|5149.0|
||2018|4382.0|
||2019|4931.0|
||2020|5702.0|
||2021|12232.0|
|Production Quantity and 01.13.19.00.04. (Maydanoz) - Tonne|2004|47000.0|
||2005|57000.0|
||2006|53189.0|
||2007|48972.0|
||2008|52346.0|
||2009|58145.0|
||2010|56332.0|
||2011|54956.0|
||2012|56614.0|
||2013|57619.0|
||2014|58351.0|
||2015|57728.0|
||2016|58190.0|
||2017|80304.0|
||2018|78961.0|
||2019|92954.0|
||2020|97760.0|
||2021|108604.0|
|Production Quantity and 01.13.19.00.05. (Roka) - Tonne|2004|2400.0|
||2005|2750.0|
||2006|2497.0|
||2007|2557.0|
||2008|2940.0|
||2009|3592.0|
||2010|4058.0|
||2011|4524.0|
||2012|7689.0|
||2013|8962.0|
||2014|8791.0|
||2015|9110.0|
||2016|10185.0|
||2017|9334.0|
||2018|12930.0|
||2019|13654.0|
||2020|15045.0|
||2021|27350.0|
|Production Quantity and 01.13.19.00.06. (Tere) - Tonne|2004|1500.0|
||2005|1600.0|
||2006|1924.0|
||2007|1952.0|
||2008|1922.0|
||2009|2143.0|
||2010|2380.0|
||2011|2750.0|
||2012|4476.0|
||2013|7371.0|
||2014|8732.0|
||2015|9236.0|
||2016|6985.0|
||2017|5993.0|
||2018|6517.0|
||2019|6629.0|
||2020|8352.0|
||2021|8785.0|
|Production Quantity and 01.13.19.00.07. (Nane) - Tonne|2004|6500.0|
||2005|7750.0|
||2006|9591.0|
||2007|9376.0|
||2008|9824.0|
||2009|10998.0|
||2010|11772.0|
||2011|12160.0|
||2012|12598.0|
||2013|14143.0|
||2014|14700.0|
||2015|14945.0|
||2016|15550.0|
||2017|14213.0|
||2018|14511.0|
||2019|16011.0|
||2020|23471.0|
||2021|26438.0|
|Production Quantity and 01.13.19.00.08. (Dereotu) - Tonne|2004|1500.0|
||2005|2000.0|
||2006|2456.0|
||2007|2637.0|
||2008|2677.0|
||2009|2837.0|
||2010|2978.0|
||2011|2836.0|
||2012|2901.0|
||2013|3806.0|
||2014|4603.0|
||2015|4488.0|
||2016|4589.0|
||2017|7208.0|
||2018|8318.0|
||2019|8740.0|
||2020|8267.0|
||2021|10432.0|
|Production Quantity and 01.13.21.00.00. (Karpuz) - Tonne|2004|3825000.0|
||2005|3970000.0|
||2006|3805306.0|
||2007|3796680.0|
||2008|4002285.0|
||2009|3810205.0|
||2010|3683103.0|
||2011|3864489.0|
||2012|4022296.0|
||2013|3887324.0|
||2014|3885617.0|
||2015|3918558.0|
||2016|3928892.0|
||2017|4011313.0|
||2018|4031174.0|
||2019|3870515.0|
||2020|3491554.0|
||2021|3468717.0|
|Production Quantity and 01.13.29.00.00. (Kavun) - Tonne|2004|1750000.0|
||2005|1825000.0|
||2006|1765605.0|
||2007|1661130.0|
||2008|1749935.0|
||2009|1679191.0|
||2010|1611695.0|
||2011|1647988.0|
||2012|1688687.0|
||2013|1699550.0|
||2014|1707302.0|
||2015|1719620.0|
||2016|1854356.0|
||2017|1813422.0|
||2018|1753942.0|
||2019|1777059.0|
||2020|1724856.0|
||2021|1638638.0|
|Production Quantity and 01.13.31.00.01. (Biber (Salçalık, Kapya)) - Tonne|2004|615000.0|
||2005|685000.0|
||2006|673981.0|
||2007|674788.0|
||2008|690531.0|
||2009|700038.0|
||2010|782173.0|
||2011|730493.0|
||2012|748422.0|
||2013|814372.0|
||2014|829809.0|
||2015|879775.0|
||2016|957030.0|
||2017|1107713.0|
||2018|1128060.0|
||2019|1234423.0|
||2020|1291091.0|
||2021|1445275.0|
|Production Quantity and 01.13.31.00.02. (Biber (Dolmalık)) - Tonne|2004|375000.0|
||2005|400000.0|
||2006|392617.0|
||2007|357246.0|
||2008|371050.0|
||2009|384273.0|
||2010|387626.0|
||2011|364930.0|
||2012|383213.0|
||2013|398470.0|
||2014|391009.0|
||2015|393109.0|
||2016|418435.0|
||2017|420904.0|
||2018|397175.0|
||2019|371918.0|
||2020|389957.0|
||2021|420918.0|
|Production Quantity and 01.13.31.00.03. (Biber (Sivri)) - Tonne|2004|710000.0|
||2005|744000.0|
||2006|775577.0|
||2007|725192.0|
||2008|734596.0|
||2009|752692.0|
||2010|816901.0|
||2011|879846.0|
||2012|910725.0|
||2013|946506.0|
||2014|907126.0|
||2015|919004.0|
||2016|967466.0|
||2017|945361.0|
||2018|930349.0|
||2019|902203.0|
||2020|838890.0|
||2021|1064633.0|
|Production Quantity and 01.13.31.00.04. (Biber (Çarliston)) - Tonne|2014|104364.0|
||2015|115568.0|
||2016|114891.0|
||2017|134194.0|
||2018|99390.0|
||2019|117125.0|
||2020|116967.0|
||2021|160469.0|
|Production Quantity and 01.13.32.00.01. (Hıyar (Sofralık)) - Tonne|2005|1617000.0|
||2006|1665201.0|
||2007|1524003.0|
||2008|1524105.0|
||2009|1582396.0|
||2010|1593844.0|
||2011|1605319.0|
||2012|1603110.0|
||2013|1613771.0|
||2014|1636431.0|
||2015|1687301.0|
||2016|1676897.0|
||2017|1687927.0|
||2018|1701735.0|
||2019|1748157.0|
||2020|1678341.0|
||2021|1696520.0|
|Production Quantity and 01.13.32.00.02. (Hıyar (Turşuluk)) - Tonne|2005|128000.0|
||2006|134412.0|
||2007|146456.0|
||2008|158671.0|
||2009|152614.0|
||2010|145347.0|
||2011|143855.0|
||2012|138768.0|
||2013|140842.0|
||2014|144041.0|
||2015|135335.0|
||2016|134784.0|
||2017|139855.0|
||2018|146538.0|
||2019|168488.0|
||2020|207898.0|
||2021|193640.0|
|Production Quantity and 01.13.32.00.03. (Acur) - Tonne|2004|22000.0|
||2005|23500.0|
||2006|26400.0|
||2007|24358.0|
||2008|33862.0|
||2009|33400.0|
||2010|25621.0|
||2011|23266.0|
||2012|27886.0|
||2013|30606.0|
||2014|33238.0|
||2015|33082.0|
||2016|36006.0|
||2017|41863.0|
||2018|42631.0|
||2019|43204.0|
||2020|40644.0|
||2021|39215.0|
|Production Quantity and 01.13.33.00.00. (Patlıcan) - Tonne|2004|900000.0|
||2005|930000.0|
||2006|924165.0|
||2007|863737.0|
||2008|813686.0|
||2009|816134.0|
||2010|846998.0|
||2011|821770.0|
||2012|799285.0|
||2013|826941.0|
||2014|827380.0|
||2015|805259.0|
||2016|854049.0|
||2017|883917.0|
||2018|836284.0|
||2019|822659.0|
||2020|835422.0|
||2021|832938.0|
|Production Quantity and 01.13.34.00.01. (Domates (Sofralık)) - Tonne|2005|7067000.0|
||2006|6912745.0|
||2007|6963159.0|
||2008|7419814.0|
||2009|7205961.0|
||2010|7173188.0|
||2011|7573431.0|
||2012|7697961.0|
||2013|7941780.0|
||2014|7935110.0|
||2015|8170000.0|
||2016|8581247.0|
||2017|8789719.0|
||2018|8414920.0|
||2019|8836055.0|
||2020|8656435.0|
||2021|8580522.0|
|Production Quantity and 01.13.34.00.02. (Domates (Salçalık)) - Tonne|2005|2983000.0|
||2006|2942132.0|
||2007|2973393.0|
||2008|3565541.0|
||2009|3539611.0|
||2010|2878812.0|
||2011|3430002.0|
||2012|3652039.0|
||2013|3878220.0|
||2014|3914890.0|
||2015|4445000.0|
||2016|4018753.0|
||2017|3960281.0|
||2018|3735080.0|
||2019|4005935.0|
||2020|4547580.0|
||2021|4514736.0|
|Production Quantity and 01.13.39.00.01. (Bamya) - Tonne|2004|43000.0|
||2005|36000.0|
||2006|36843.0|
||2007|36992.0|
||2008|37543.0|
||2009|38432.0|
||2010|36748.0|
||2011|36662.0|
||2012|36001.0|
||2013|33545.0|
||2014|33103.0|
||2015|30574.0|
||2016|29529.0|
||2017|28536.0|
||2018|29111.0|
||2019|31428.0|
||2020|40654.0|
||2021|32423.0|
|Production Quantity and 01.13.39.00.02. (Kabak (Sakız)) - Tonne|2004|292000.0|
||2005|294000.0|
||2006|288336.0|
||2007|267142.0|
||2008|279451.0|
||2009|307419.0|
||2010|314340.0|
||2011|317705.0|
||2012|302374.0|
||2013|293709.0|
||2014|299858.0|
||2015|312923.0|
||2016|351550.0|
||2017|449561.0|
||2018|474527.0|
||2019|447830.0|
||2020|547208.0|
||2021|609622.0|
|Production Quantity and 01.13.39.00.03. (Bal Kabağı) - Tonne|2004|72000.0|
||2005|74000.0|
||2006|76632.0|
||2007|70740.0|
||2008|80915.0|
||2009|82552.0|
||2010|89368.0|
||2011|93099.0|
||2012|93612.0|
||2013|95076.0|
||2014|93672.0|
||2015|95363.0|
||2016|96268.0|
||2017|89737.0|
||2018|87207.0|
||2019|92319.0|
||2020|93659.0|
||2021|97168.0|
|Production Quantity and 01.13.39.00.04. (Kabak (Çerezlik)) - Tonne|2004|10500.0|
||2005|11500.0|
||2006|17286.0|
||2007|31262.0|
||2008|18340.0|
||2009|21971.0|
||2010|26694.0|
||2011|32396.0|
||2012|32144.0|
||2013|35586.0|
||2014|36331.0|
||2015|41612.0|
||2016|42181.0|
||2017|41326.0|
||2018|55043.0|
||2019|50265.0|
||2020|57184.0|
||2021|64861.0|
|Production Quantity and 01.13.39.00.06. (Kudret Narı) - Tonne|2021|66.0|
|Production Quantity and 01.13.39.00.07. (Pepino) - Tonne|2013|100.0|
||2014|100.0|
||2015|100.0|
||2016|188.0|
||2017|488.0|
||2018|24.0|
||2019|109.0|
||2020|50.0|
||2021|86.0|
|Production Quantity and 01.13.41.00.01. (Havuç) - Tonne|2004|438000.0|
||2005|388000.0|
||2006|394725.0|
||2007|641953.0|
||2008|591538.0|
||2009|593628.0|
||2010|533253.0|
||2011|602078.0|
||2012|714280.0|
||2013|569855.0|
||2014|557977.0|
||2015|534988.0|
||2016|554736.0|
||2017|569533.0|
||2018|642837.0|
||2019|663882.0|
||2020|588778.0|
||2021|590483.0|
|Production Quantity and 01.13.41.00.02. (Şalgam) - Tonne|2004|1000.0|
||2005|2300.0|
||2006|7680.0|
||2007|1628.0|
||2008|1892.0|
||2009|1787.0|
||2010|1693.0|
||2011|1494.0|
||2012|1537.0|
||2013|1938.0|
||2014|1509.0|
||2015|1393.0|
||2016|1651.0|
||2017|1768.0|
||2018|1530.0|
||2019|2388.0|
||2020|2599.0|
||2021|2359.0|
|Production Quantity and 01.13.42.00.01. (Sarımsak (Taze)) - Tonne|2004|25000.0|
||2005|27000.0|
||2006|27312.0|
||2007|23905.0|
||2008|23900.0|
||2009|22229.0|
||2010|21234.0|
||2011|21445.0|
||2012|25768.0|
||2013|27930.0|
||2014|25089.0|
||2015|24356.0|
||2016|25987.0|
||2017|26328.0|
||2018|25519.0|
||2019|23351.0|
||2020|28552.0|
||2021|46454.0|
|Production Quantity and 01.13.42.00.02. (Sarımsak (Kuru)) - Tonne|2004|84000.0|
||2005|82000.0|
||2006|68800.0|
||2007|74290.0|
||2008|81070.0|
||2009|83134.0|
||2010|76936.0|
||2011|79203.0|
||2012|79433.0|
||2013|87037.0|
||2014|91000.0|
||2015|94867.0|
||2016|109161.0|
||2017|121805.0|
||2018|117688.0|
||2019|103096.0|
||2020|116840.0|
||2021|132617.0|
|Production Quantity and 01.13.43.00.01. (Soğan (Taze)) - Tonne|2004|207000.0|
||2005|200000.0|
